category,value,n_success,avg_iterations,avg_steps,avg_prompt_tokens_k,avg_duration_min
domain,web-development,47,2.02,26.3,453.0,27.7
domain,utilities,44,1.36,18.5,288.5,23.8
domain,mobile-development,23,1.61,23.3,384.8,23.4
domain,systems-programming,19,1.47,20.5,343.4,32.5
domain,devops,16,1.44,21.9,354.8,24.4
domain,machine-learning,14,1.86,28.0,432.1,53.0
domain,security,14,1.71,24.7,346.8,20.8
domain,education,10,3.0,29.9,500.0,23.0
domain,data-science,4,1.25,9.8,115.3,11.5
domain,game-development,4,2.0,30.0,539.3,35.5
domain,scientific-computing,1,1.0,7.0,76.5,7.4
