build_type,n,total_cost_usd,avg_cost_usd,avg_duration_min,avg_iterations
npm,38,4.0376,0.106254,32.12,1.61
pip,23,2.8806,0.125244,47.33,1.91
none,23,2.555,0.111086,37.56,1.78
go-mod,16,0.5934,0.037084,9.21,1.06
setuptools,16,2.5477,0.159234,64.49,2.5
cmake,14,1.5844,0.113175,42.66,1.5
gradle,14,2.0067,0.143333,47.88,1.93
cargo,13,2.6799,0.206144,92.07,2.38
pnpm,10,1.6932,0.169322,32.08,2.1
make,9,0.8661,0.096235,41.53,1.78
swiftpm,8,0.9325,0.116561,33.25,2.25
dotnet,7,1.122,0.160282,34.58,2.43
maven,7,0.5248,0.074972,15.3,1.57
yarn,7,1.0251,0.146443,37.63,1.86
composer,7,0.9083,0.12976,29.81,1.71
poetry,6,0.7748,0.129128,78.53,2.17
bundler,5,0.3382,0.06764,19.02,1.2
bun,4,0.4037,0.100915,26.22,1.5
bazel,4,0.3786,0.09466,28.74,1.5
mix,4,0.4471,0.111785,52.86,1.5
msbuild,4,0.6286,0.157159,25.14,2.75
flutter,3,0.6742,0.224725,71.11,2.33
meson,3,0.4865,0.162157,38.55,2.33
cocoapods,3,0.1673,0.055781,14.79,1.33
zig,3,0.8035,0.267838,102.79,3.0
grunt,3,0.2437,0.081238,16.42,1.33
docker,3,0.2247,0.074907,24.77,1.33
scons,2,0.4857,0.242835,71.94,2.5
docker-compose,2,0.0435,0.021726,7.26,1.0
pub,2,0.2263,0.113133,45.17,2.0
sbt,2,0.4837,0.241855,66.28,3.0
luarocks,2,0.2086,0.104281,32.08,2.0
bower,2,0.0455,0.022726,6.12,1.0
gn,1,0.2445,0.244452,53.42,3.0
carthage,1,0.0157,0.015696,5.96,1.0
ant,1,0.193,0.192991,31.76,3.0
pdm,1,0.07,0.069986,31.34,1.0
xcode,1,0.0535,0.053458,11.49,2.0
waf,1,0.3512,0.3512,108.33,3.0
cabal,1,0.3388,0.338776,245.73,3.0
stack,1,0.1232,0.123189,68.81,2.0
rake,1,0.1789,0.178903,39.78,3.0
conda,1,0.0155,0.015489,0.46,3.0
leiningen,1,0.0246,0.024579,11.0,1.0
gem,1,0.0215,0.021517,6.7,1.0
cake,1,0.1437,0.143706,35.17,3.0
