domain,n,total_cost_usd,avg_cost_usd,avg_duration_min,avg_iterations
utilities,66,8.3436,0.126419,39.11,1.88
web-development,57,6.0418,0.105996,26.16,1.67
systems-programming,32,4.592,0.143499,55.66,2.06
machine-learning,30,4.0943,0.136476,66.71,2.13
mobile-development,29,3.6297,0.125163,32.91,1.9
devops,18,1.8907,0.10504,36.78,1.44
security,18,1.7049,0.094717,19.99,1.67
education,13,1.1328,0.087139,29.48,1.62
data-science,10,1.9013,0.190127,91.72,2.3
game-development,5,0.7571,0.151421,47.72,2.2
scientific-computing,4,0.7072,0.176796,59.8,2.5
