slug,repo_url,result,domain,build_type,iteration_count,total_steps,verify_calls,total_duration_ms,total_duration_min,blueprint_duration_ms,blueprint_duration_min,total_build_duration_ms,total_build_duration_min,total_smoke_duration_ms,total_review_duration_ms,gemini_prompt_tokens,gemini_completion_tokens,gemini_cost_usd,sonnet_prompt_tokens,sonnet_completion_tokens,sonnet_cost_usd,total_prompt_tokens,total_completion_tokens,total_cost_usd,blueprint_prompt_tokens,blueprint_completion_tokens,blueprint_cost_usd,agent_prompt_tokens,agent_completion_tokens,review_prompt_tokens,review_completion_tokens,summary_prompt_tokens,summary_completion_tokens,lesson_prompt_tokens,lesson_completion_tokens
21st-dev/1code,https://github.com/21st-dev/1code,SUCCESS,utilities,bun,1,23,9,1752576,29.21,42805,0.71,807185,13.45,7814,390452,585264,90390,0.094682,0,0,0.0,585264,90390,0.094682,32578,5015,0.005264,461161,26938,7088,40023,3421,4210,0,0
2dust/v2rayN,https://github.com/2dust/v2rayN,SUCCESS,utilities,dotnet,3,68,21,3349722,55.83,45413,0.76,765556,12.76,9775,807068,1381846,251895,0.238943,4286,1494,0.035268,1386132,253389,0.274211,19951,6989,0.004791,1227443,90452,17893,91488,5649,19019,4286,1494
AmanVarshney01/create-better-t-stack,https://github.com/AmanVarshney01/create-better-t-stack,SUCCESS,utilities,bun,1,5,2,418977,6.98,53630,0.89,187714,3.13,2879,75299,95495,21781,0.018262,0,0,0.0,95495,21781,0.018262,18241,4820,0.003752,62312,4660,1225,6737,820,2352,0,0
Automattic/harper,https://github.com/Automattic/harper,FAIL,utilities,cargo,3,43,19,7287489,121.46,51020,0.85,5285927,88.1,0,893066,761689,159438,0.139944,2677,1382,0.028761,764366,160820,0.168705,17207,6138,0.004176,607356,39832,16304,91603,1255,5615,2677,1382
BlankerL/DXY-COVID-19-Crawler,https://github.com/BlankerL/DXY-COVID-19-Crawler,SUCCESS,data-science,pip,1,9,4,394240,6.57,58736,0.98,56158,0.94,11013,101702,79693,25303,0.01809,0,0,0.0,79693,25303,0.01809,13021,4853,0.003243,64471,11575,2201,8875,0,0,0,0
BlinkDL/ChatRWKV,https://github.com/BlinkDL/ChatRWKV,FAIL,machine-learning,pip,3,52,18,2835015,47.25,50478,0.84,1015861,16.93,67129,640165,1033670,145334,0.161501,3119,1401,0.030372,1036789,146735,0.191873,20833,6383,0.004636,967400,70935,11131,63007,25448,2438,3119,1401
BradLarson/GPUImage2,https://github.com/BradLarson/GPUImage2,SUCCESS,mobile-development,swiftpm,1,13,3,579940,9.67,66794,1.11,144670,2.41,3030,126466,191410,33350,0.032481,0,0,0.0,191410,33350,0.032481,16263,5141,0.003683,146154,14650,1729,9467,0,0,0,0
CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,SUCCESS,machine-learning,cmake,1,13,5,930397,15.51,42838,0.71,434085,7.23,2659,156431,385817,58633,0.062035,0,0,0.0,385817,58633,0.062035,23160,4939,0.004292,241307,17787,3239,20244,1442,5119,0,0
ComicSparks/jasmine,https://github.com/ComicSparks/jasmine,FAIL,mobile-development,flutter,3,55,25,6949607,115.83,64690,1.08,4081760,68.03,0,1142073,1872738,224078,0.276905,2474,1303,0.026967,1875212,225381,0.303872,18271,5568,0.004054,946217,76277,24426,98615,1458,4882,2474,1303
CorentinTh/it-tools,https://github.com/CorentinTh/it-tools,SUCCESS,web-development,npm,1,7,2,280820,4.68,35186,0.59,100384,1.67,508,42458,167516,19810,0.024676,0,0,0.0,167516,19810,0.024676,26341,5454,0.004816,139148,6656,1086,5249,0,0,0,0
DiUS/java-faker,https://github.com/DiUS/java-faker,SUCCESS,utilities,maven,2,35,8,1157805,19.3,62256,1.04,96391,1.61,357,240296,740251,110985,0.118419,2004,810,0.018162,742255,111795,0.136581,24137,5324,0.004543,547030,46103,3663,26668,7740,15601,2004,810
EsotericSoftware/spine-runtimes,https://github.com/EsotericSoftware/spine-runtimes,SUCCESS,game-development,cmake,1,11,4,537534,8.96,63155,1.05,142884,2.38,2809,143122,226558,31185,0.03513,0,0,0.0,226558,31185,0.03513,19972,4149,0.003657,164902,11652,2594,13348,0,0,0,0
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,SUCCESS,utilities,go-mod,1,2,1,121860,2.03,36560,0.61,26437,0.44,1918,21984,30510,10855,0.007393,0,0,0.0,30510,10855,0.007393,14310,4862,0.003376,15673,3465,527,2528,0,0,0,0
Flipper-XFW/Xtreme-Firmware,https://github.com/Flipper-XFW/Xtreme-Firmware,SUCCESS,systems-programming,scons,2,32,12,1320302,22.01,58152,0.97,178996,2.98,24873,420707,466654,83611,0.08011,1860,672,0.01566,468514,84283,0.09577,17608,4365,0.003507,434549,40863,7659,37020,0,0,1860,672
FormidableLabs/victory-native,https://github.com/FormidableLabs/victory-native,SUCCESS,mobile-development,yarn,1,10,5,934885,15.58,59937,1.0,309936,5.17,12827,313773,167778,42566,0.033804,0,0,0.0,167778,42566,0.033804,19556,5725,0.004246,140972,12171,2676,18716,0,0,0,0
