slug,repo_url,domain,build_type,root_cause,sub_causes,run_count,total_iterations,total_verify_attempts,total_build_attempts,total_build_failures,total_smoke_attempts,total_smoke_failures,total_rejections,had_any_build_success,max_iterations_reached,num_dockerfiles_generated,last_verify_result,base_images_tried,error_message
Automattic/harper,https://github.com/Automattic/harper,utilities,cargo,build_always_failed,unclassified; version_mismatch; compilation_error,1,3,19,15,15,0,0,4,False,True,18,build_failed,rust:latest; rust:1.80.0; rust:1.79.0; rust:1.70.0; rust:1.75.0; rust:nightly,
BlinkDL/ChatRWKV,https://github.com/BlinkDL/ChatRWKV,machine-learning,pip,smoke_test_failure,dockerfile_syntax; missing_source_file,1,3,18,18,2,16,16,0,True,True,15,smoke_failed,python:3.12.13-bookworm,
ComicSparks/jasmine,https://github.com/ComicSparks/jasmine,mobile-development,flutter,build_always_failed,unclassified; compilation_error; missing_source_file,1,3,25,19,19,0,0,6,False,True,27,build_failed,ubuntu:jammy-20260217; ubuntu:22.04,
FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,systems-programming,cargo,build_always_failed,missing_source_file; compilation_error; dockerfile_syntax,1,3,7,6,6,0,0,1,False,True,8,build_failed,rust:1.94.0-bookworm,
IzzelAliz/Arclight,https://github.com/IzzelAliz/Arclight,game-development,gradle,build_always_failed,compilation_error; unclassified; missing_system_dep,1,3,22,21,21,0,0,1,False,True,26,build_failed,debian:bookworm-slim; eclipse-temurin:21-jdk; openjdk:21-jdk-slim; gradle:8.3-jdk21; eclipse-temurin:21-jdk-jammy; debian:oldstable-slim,
JideGuru/FlutterSocialAppUIKit,https://github.com/JideGuru/FlutterSocialAppUIKit,mobile-development,pub,smoke_test_failure,compilation_error; unclassified; version_mismatch,1,3,21,19,18,1,1,2,True,True,22,build_failed,dart:3; cirrusci/flutter:3.13.8; dart:stable; --platform=$BUILDPLATFORM; cirrusci/flutter:latest; dart:stable-sdk; ghcr.io/cirruslabs/flutter:3.10.6,
ManimCommunity/manim,https://github.com/ManimCommunity/manim,education,poetry,smoke_test_failure,unclassified; dependency_not_found; missing_system_dep,2,4,33,23,14,9,9,10,True,True,36,rejected,python:3.13-slim; python:3.11-slim; python:3.15.0a7-slim-as-builder; python:3.15.0a7-slim-trixie; python:3.14-slim; python:3.15.0a7-slim,"SSL connection has been closed unexpectedly
"
MicaForEveryone/MicaForEveryone,https://github.com/MicaForEveryone/MicaForEveryone,utilities,dotnet,build_always_failed,unclassified; dependency_not_found; missing_system_dep,1,3,12,10,10,0,0,2,False,True,38,build_failed,mcr.microsoft.com/dotnet/sdk:9.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:10.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:7.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:8.0-windowsservercore-ltsc2022; ubuntu:jammy-20260217,
MojoJolo/textteaser,https://github.com/MojoJolo/textteaser,machine-learning,sbt,smoke_test_failure,unclassified; missing_system_dep; network_error,1,3,19,16,11,5,5,3,True,True,24,build_failed,hseeberger/scala-sbt:8u111_2.11.2_2.11.12; hseeberger/scala-sbt:8u111-jdk8; eclipse-temurin:8-jdk; java:openjdk-8u111-jdk-alpine; hseeberger/scala-sbt:8u272_2.11.12_0; hseeberger/scala-sbt:latest; eclipse-temurin:8-jdk-buster; adoptopenjdk/openjdk8; openjdk:8-jdk-slim,
MrS0m30n3/youtube-dl-gui,https://github.com/MrS0m30n3/youtube-dl-gui,utilities,setuptools,build_always_failed,missing_system_dep; dependency_not_found; compilation_error,1,3,18,17,17,0,0,1,False,True,20,build_failed,ubuntu:22.04; ubuntu:jammy-20260210.1; --platform=linux/amd64; ubuntu:14.04; ubuntu:18.04; python:2.7; debian:9; ubuntu:16.04,
NilsIrl/dockerc,https://github.com/NilsIrl/dockerc,systems-programming,zig,build_always_failed,network_error; unclassified; dependency_not_found,1,3,28,26,26,0,0,2,False,True,30,build_failed,debian:stable-slim; debian:oldstable-slim; ziglang/zig:0.13.0; debian:bookworm-slim,
ShareX/ShareX,https://github.com/ShareX/ShareX,utilities,dotnet,build_always_failed,dependency_not_found; dockerfile_syntax; missing_source_file,1,3,8,2,2,0,0,6,False,True,52,build_failed,mcr.microsoft.com/dotnet/sdk:9.0-windowsservercore-ltsc2025; ubuntu:22.04; mcr.microsoft.com/dotnet/sdk:9.0; mcr.microsoft.com/dotnet/sdk:9.0-windowsservercore-ltsc2022; mcr.microsoft.com/dotnet/sdk:8.0; mcr.microsoft.com/dotnet/sdk:6.0; mcr.microsoft.com/dotnet/sdk:7.0; mcr.microsoft.com/dotnet/sdk:8.0-windowsservercore-ltsc2022; mcr.microsoft.com/windows/servercore:ltsc2022; docker:windowsservercore-ltsc2025,
Theano/Theano,https://github.com/Theano/Theano,machine-learning,setuptools,smoke_test_failure,unclassified,1,3,16,16,3,13,13,0,True,True,14,smoke_failed,python:3.10-bookworm; python:3.12.13-bookworm; python:3.11-bookworm,
XUANTIE-RV/wujian100_open,https://github.com/XUANTIE-RV/wujian100_open,systems-programming,make,build_always_failed,missing_system_dep; compilation_error; missing_source_file,1,3,21,17,17,0,0,4,False,True,23,build_failed,riscv/riscv-gnu-toolchain:latest; ubuntu:jammy-20260217; ubuntu:22.04; ubuntu:,
