slug,overall_result,total_verify_calls,rejected,build_failed,smoke_failed,accepted,calls_before_first_accept
21st-dev/1code,SUCCESS,9,0,8,0,1,8
2dust/v2rayN,SUCCESS,21,2,16,2,1,20
AmanVarshney01/create-better-t-stack,SUCCESS,2,0,1,0,1,1
Automattic/harper,FAIL,19,4,15,0,0,19
BlankerL/DXY-COVID-19-Crawler,SUCCESS,4,0,0,3,1,3
BlinkDL/ChatRWKV,FAIL,18,0,2,16,0,18
BradLarson/GPUImage2,SUCCESS,3,0,2,0,1,2
CMU-Perceptual-Computing-Lab/openpose,SUCCESS,5,1,3,0,1,4
ComicSparks/jasmine,FAIL,25,6,19,0,0,25
CorentinTh/it-tools,SUCCESS,2,0,1,0,1,1
DiUS/java-faker,SUCCESS,8,2,5,0,1,7
EsotericSoftware/spine-runtimes,SUCCESS,4,1,1,1,1,3
FiloSottile/mkcert,SUCCESS,1,0,0,0,1,0
Flipper-XFW/Xtreme-Firmware,SUCCESS,12,7,1,3,1,11
FormidableLabs/victory-native,SUCCESS,5,1,3,0,1,4
FortAwesome/Font-Awesome,SUCCESS,1,0,0,0,1,0
FuelLabs/fuel-core,FAIL,7,1,6,0,0,7
GcsSloop/rclayout,SUCCESS,6,0,6,0,0,6
Genymobile/scrcpy,SUCCESS,3,0,2,0,1,2
GoogleCloudPlatform/PerfKitBenchmarker,SUCCESS,7,0,0,6,1,6
HeyPuter/puter,SUCCESS,10,0,9,0,1,9
Humanizr/Humanizer,SUCCESS,9,0,8,0,1,8
IAmStoxe/wirehole,SUCCESS,1,0,0,0,1,0
ImageOptim/ImageOptim,SUCCESS,11,2,5,3,1,10
IzzelAliz/Arclight,FAIL,22,1,21,0,0,22
JideGuru/FlutterSocialAppUIKit,FAIL,21,2,18,1,0,21
KaringX/karing,SUCCESS,8,0,8,0,0,8
Kong/kong,SUCCESS,4,0,3,0,1,3
KrauseFx/TSMessages,SUCCESS,16,9,6,0,1,15
LAION-AI/Open-Assistant,SUCCESS,11,1,8,1,1,10
ManimCommunity/manim,FAIL,33,10,14,9,0,33
MicaForEveryone/MicaForEveryone,FAIL,12,2,10,0,0,12
MojoJolo/textteaser,FAIL,19,3,11,5,0,19
MrS0m30n3/youtube-dl-gui,FAIL,18,1,17,0,0,18
Nekmo/dirhunt,SUCCESS,3,0,2,0,1,2
NilsIrl/dockerc,FAIL,28,2,26,0,0,28
OpenGVLab/DragGAN,SUCCESS,3,0,0,2,1,2
PaulRBerg/hardhat-template,SUCCESS,12,0,10,1,1,11
PhilJay/MPAndroidChart,SUCCESS,15,2,13,0,0,15
Qihoo360/poseidon,SUCCESS,20,3,14,2,1,19
Quick/Quick,SUCCESS,28,6,20,1,1,27
RSSNext/Folo,SUCCESS,4,0,2,1,1,3
Ranchero-Software/NetNewsWire,SUCCESS,5,4,0,0,1,4
ReactiveX/RxJava,SUCCESS,21,2,13,3,3,16
SeleniumHQ/selenium,SUCCESS,4,0,3,0,1,3
ShareX/ShareX,FAIL,8,6,2,0,0,8
StartBootstrap/startbootstrap-simple-sidebar,SUCCESS,4,0,0,3,1,3
TEN-framework/ten-framework,SUCCESS,17,3,11,2,1,16
Tencent/wujie,SUCCESS,25,1,18,5,1,24
