slug,overall_result,total_calls,first_outcome,last_outcome,max_stage_reached,final_stage,regressed_from_peak
21st-dev/1code,SUCCESS,9,build_failed,accepted,3,3,False
2dust/v2rayN,SUCCESS,21,build_failed,accepted,3,3,False
AmanVarshney01/create-better-t-stack,SUCCESS,2,build_failed,accepted,3,3,False
Automattic/harper,FAIL,19,rejected,build_failed,1,1,False
BlankerL/DXY-COVID-19-Crawler,SUCCESS,4,smoke_failed,accepted,3,3,False
BlinkDL/ChatRWKV,FAIL,18,smoke_failed,smoke_failed,2,2,False
BradLarson/GPUImage2,SUCCESS,3,build_failed,accepted,3,3,False
CMU-Perceptual-Computing-Lab/openpose,SUCCESS,5,rejected,accepted,3,3,False
ComicSparks/jasmine,FAIL,25,build_failed,build_failed,1,1,False
CorentinTh/it-tools,SUCCESS,2,build_failed,accepted,3,3,False
DiUS/java-faker,SUCCESS,8,rejected,accepted,3,3,False
EsotericSoftware/spine-runtimes,SUCCESS,4,build_failed,accepted,3,3,False
Flipper-XFW/Xtreme-Firmware,SUCCESS,12,smoke_failed,accepted,3,3,False
FormidableLabs/victory-native,SUCCESS,5,build_failed,accepted,3,3,False
FuelLabs/fuel-core,FAIL,7,rejected,build_failed,1,1,False
GcsSloop/rclayout,SUCCESS,6,build_failed,build_failed,1,1,False
Genymobile/scrcpy,SUCCESS,3,build_failed,accepted,3,3,False
GoogleCloudPlatform/PerfKitBenchmarker,SUCCESS,7,smoke_failed,accepted,3,3,False
HeyPuter/puter,SUCCESS,10,build_failed,accepted,3,3,False
Humanizr/Humanizer,SUCCESS,9,build_failed,accepted,3,3,False
ImageOptim/ImageOptim,SUCCESS,11,build_failed,accepted,3,3,False
IzzelAliz/Arclight,FAIL,22,build_failed,build_failed,1,1,False
JideGuru/FlutterSocialAppUIKit,FAIL,21,build_failed,build_failed,2,1,True
KaringX/karing,SUCCESS,8,build_failed,build_failed,1,1,False
Kong/kong,SUCCESS,4,build_failed,accepted,3,3,False
KrauseFx/TSMessages,SUCCESS,16,build_failed,accepted,3,3,False
LAION-AI/Open-Assistant,SUCCESS,11,rejected,accepted,3,3,False
ManimCommunity/manim,FAIL,33,rejected,rejected,2,0,True
MicaForEveryone/MicaForEveryone,FAIL,12,build_failed,build_failed,1,1,False
MojoJolo/textteaser,FAIL,19,build_failed,build_failed,2,1,True
MrS0m30n3/youtube-dl-gui,FAIL,18,build_failed,build_failed,1,1,False
Nekmo/dirhunt,SUCCESS,3,build_failed,accepted,3,3,False
NilsIrl/dockerc,FAIL,28,build_failed,build_failed,1,1,False
OpenGVLab/DragGAN,SUCCESS,3,smoke_failed,accepted,3,3,False
PaulRBerg/hardhat-template,SUCCESS,12,build_failed,accepted,3,3,False
PhilJay/MPAndroidChart,SUCCESS,15,rejected,build_failed,1,1,False
Qihoo360/poseidon,SUCCESS,20,rejected,accepted,3,3,False
Quick/Quick,SUCCESS,28,rejected,accepted,3,3,False
RSSNext/Folo,SUCCESS,4,build_failed,accepted,3,3,False
Ranchero-Software/NetNewsWire,SUCCESS,5,rejected,accepted,3,3,False
ReactiveX/RxJava,SUCCESS,21,build_failed,accepted,3,3,False
SeleniumHQ/selenium,SUCCESS,4,build_failed,accepted,3,3,False
ShareX/ShareX,FAIL,8,rejected,build_failed,1,1,False
StartBootstrap/startbootstrap-simple-sidebar,SUCCESS,4,smoke_failed,accepted,3,3,False
TEN-framework/ten-framework,SUCCESS,17,rejected,accepted,3,3,False
Tencent/wujie,SUCCESS,25,build_failed,accepted,3,3,False
TheAlgorithms/C-Plus-Plus,SUCCESS,10,build_failed,accepted,3,3,False
Theano/Theano,FAIL,16,build_failed,smoke_failed,2,2,False
TianZerL/Anime4KCPP,SUCCESS,3,rejected,accepted,3,3,False
TimOliver/TOCropViewController,SUCCESS,2,build_failed,accepted,3,3,False
XUANTIE-RV/wujian100_open,FAIL,21,build_failed,build_failed,1,1,False
adamwdraper/Numeral-js,FAIL,29,smoke_failed,build_failed,2,1,True
addyosmani/essential-js-design-patterns,SUCCESS,48,build_failed,accepted,3,3,False
advimman/lama,SUCCESS,3,rejected,build_failed,1,1,False
ageitgey/face_recognition,FAIL,42,build_failed,build_failed,2,1,True
aksakalli/gtop,SUCCESS,5,rejected,accepted,3,3,False
alainm23/planify,FAIL,23,build_failed,build_failed,1,1,False
alibaba/compileflow,SUCCESS,3,build_failed,accepted,3,3,False
amruthpillai/reactive-resume,SUCCESS,9,build_failed,accepted,3,3,False
an-anime-team/an-anime-game-launcher,SUCCESS,13,build_failed,accepted,3,3,False
anoma/anoma,FAIL,21,build_failed,build_failed,1,1,False
ant-design/ant-design,SUCCESS,5,build_failed,accepted,3,3,False
antonioribeiro/google2fa,SUCCESS,19,build_failed,accepted,3,3,False
apache/cassandra,SUCCESS,13,rejected,accepted,3,3,False
apache/maven,SUCCESS,14,build_failed,accepted,3,3,False
apache/opendal,SUCCESS,16,build_failed,accepted,3,3,False
apple/ml-fastvit,FAIL,31,smoke_failed,rejected,2,0,True
apple/swift-protobuf,SUCCESS,2,build_failed,accepted,3,3,False
armcha/Space-Navigation-View,SUCCESS,5,build_failed,build_failed,1,1,False
atom/atom,FAIL,29,build_failed,build_failed,1,1,False
auto-ssl/lua-resty-auto-ssl,SUCCESS,3,build_failed,accepted,3,3,False
babel/babel,FAIL,32,build_failed,rejected,1,0,True
backup/backup,SUCCESS,4,build_failed,accepted,3,3,False
baiy/Ctool,FAIL,17,build_failed,build_failed,1,1,False
base/node,SUCCESS,4,rejected,accepted,3,3,False
basecamp/local_time,SUCCESS,15,build_failed,accepted,3,3,False
bchavez/Bogus,SUCCESS,4,build_failed,accepted,3,3,False
benvinegar/counterscale,SUCCESS,12,build_failed,accepted,3,3,False
bilibili/DanmakuFlameMaster,SUCCESS,14,rejected,build_failed,1,1,False
biliup/biliup,FAIL,27,rejected,build_failed,1,1,False
biopython/biopython,FAIL,20,build_failed,smoke_failed,2,2,False
browser-use/browser-use,FAIL,30,rejected,build_failed,2,1,True
brucefan1983/CUDA-Programming,SUCCESS,7,build_failed,accepted,3,3,False
carbon-app/carbon,SUCCESS,6,build_failed,accepted,3,3,False
castwide/solargraph,SUCCESS,6,rejected,accepted,3,3,False
certsocietegenerale/FIR,FAIL,45,build_failed,build_failed,2,1,True
chaostoolkit/chaostoolkit,SUCCESS,11,rejected,accepted,3,3,False
chrisbenincasa/tunarr,SUCCESS,5,build_failed,accepted,3,3,False
christinecha/choreographer-js,SUCCESS,2,build_failed,accepted,3,3,False
cirruslabs/tart,FAIL,17,rejected,rejected,1,0,True
cjhutto/vaderSentiment,FAIL,19,smoke_failed,smoke_failed,2,2,False
