repo_name,repo_link,star_count,domain,build_type,automation_level,environment_specificity,dependency_transparency,tooling_complexity,reproducibility_support
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,205947,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,336939,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,465197,documentation,none,reverse_engineering,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,335046,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
facebook/react,https://github.com/facebook/react,242937,web-development,yarn,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195546,education,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,272742,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
public-apis/public-apis,https://github.com/public-apis/public-apis,397824,documentation,pip,manual,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only
ossu/computer-science,https://github.com/ossu/computer-science,201202,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,217621,education,pip,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,258124,documentation,none,reverse_engineering,cross_platform_generic,implicit,single_layer_tool,repro_ready
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,382458,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
vuejs/vue,https://github.com/vuejs/vue,209902,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
vinta/awesome-python,https://github.com/vinta/awesome-python,282375,documentation,pip,semi_automated,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
sindresorhus/awesome,https://github.com/sindresorhus/awesome,436708,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,183658,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,184632,utilities,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
openclaw/openclaw,https://github.com/openclaw/openclaw,184930,utilities,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437001,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
github/gitignore,https://github.com/github/gitignore,172379,documentation,none,reverse_engineering,cross_platform_generic,implicit,single_layer_tool,repro_ready
avelino/awesome-go,https://github.com/avelino/awesome-go,164802,documentation,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
ollama/ollama,https://github.com/ollama/ollama,162392,machine-learning,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
microsoft/vscode,https://github.com/microsoft/vscode,181606,utilities,npm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,181785,machine-learning,poetry,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
n8n-io/n8n,https://github.com/n8n-io/n8n,174088,web-development,npm,fully_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
flutter/flutter,https://github.com/flutter/flutter,175107,mobile-development,none,semi_automated,cross_platform_generic,explicit_loose,multi_layer_toolchains,repro_ready
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,153795,documentation,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184397,education,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
airbnb/javascript,https://github.com/airbnb/javascript,148105,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,165609,security,none,semi_automated,specific_os,implicit,single_layer_tool,no_ci_manual_only
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,147002,web-development,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
twbs/bootstrap,https://github.com/twbs/bootstrap,173977,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,159814,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,160510,machine-learning,pip,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,348894,documentation,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,no_ci_manual_only
huggingface/transformers,https://github.com/huggingface/transformers,156366,machine-learning,pip,semi_automated,cross_platform_generic,explicit_loose,multi_layer_toolchains,repro_ready
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,137564,documentation,npm,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,no_ci_manual_only
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,193692,machine-learning,bazel,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,146714,utilities,pip,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,132536,education,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
vercel/next.js,https://github.com/vercel/next.js,137609,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,178624,education,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,142773,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
facebook/react-native,https://github.com/facebook/react-native,125335,mobile-development,npm,manual,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,117894,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
f/prompts.chat,https://github.com/f/prompts.chat,145073,documentation,npm,semi_automated,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116320,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,139647,utilities,setuptools,semi_automated,cross_platform_generic,implicit,single_layer_tool,repro_ready
langchain-ai/langchain,https://github.com/langchain-ai/langchain,126490,machine-learning,poetry,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
golang/go,https://github.com/golang/go,132405,systems-programming,make,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only
torvalds/linux,https://github.com/torvalds/linux,217024,error,error,error,error,error,error,error
langflow-ai/langflow,https://github.com/langflow-ai/langflow,144729,machine-learning,poetry,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,135486,utilities,meson,semi_automated,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
996icu/996.ICU,https://github.com/996icu/996.ICU,275472,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
langgenius/dify,https://github.com/langgenius/dify,129420,documentation,none,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,no_ci_manual_only
electron/electron,https://github.com/electron/electron,120074,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,116521,web-development,yarn,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,114183,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
microsoft/PowerToys,https://github.com/microsoft/PowerToys,129286,utilities,cmake,semi_automated,specific_os,explicit_machine_readable,multi_layer_toolchains,repro_ready
axios/axios,https://github.com/axios/axios,108584,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
d3/d3,https://github.com/d3/d3,112297,web-development,yarn,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
iptv-org/iptv,https://github.com/iptv-org/iptv,111387,utilities,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,106385,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,repro_ready
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,106120,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
shadcn-ui/ui,https://github.com/shadcn-ui/ui,106468,web-development,pnpm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,107311,systems-programming,cargo,semi_automated,cross_platform_generic,explicit_loose,multi_layer_toolchains,repro_ready
krahets/hello-algo,https://github.com/krahets/hello-algo,122253,education,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105093,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
nodejs/node,https://github.com/nodejs/node,115684,systems-programming,make,semi_automated,cross_platform_generic,implicit,multi_layer_toolchains,repro_ready
microsoft/TypeScript,https://github.com/microsoft/TypeScript,107771,utilities,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,120431,error,error,error,error,error,error,error
tauri-apps/tauri,https://github.com/tauri-apps/tauri,102563,systems-programming,cargo,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
open-webui/open-webui,https://github.com/open-webui/open-webui,123592,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,multi_layer_toolchains,repro_ready
facebook/create-react-app,https://github.com/facebook/create-react-app,103943,web-development,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
denoland/deno,https://github.com/denoland/deno,106116,systems-programming,cargo,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
fatedier/frp,https://github.com/fatedier/frp,104439,devops,go-mod,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,102994,machine-learning,pip,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
mrdoob/three.js,https://github.com/mrdoob/three.js,110836,error,error,error,error,error,error,error
rust-lang/rust,https://github.com/rust-lang/rust,110204,error,error,error,error,error,error,error
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,98727,documentation,npm,semi_automated,cross_platform_generic,explicit_loose,single_layer_tool,repro_ready
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,101550,machine-learning,pip,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,126753,documentation,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,97888,documentation,npm,semi_automated,cross_platform_generic,explicit_machine_readable,single_layer_tool,repro_ready
anomalyco/opencode,https://github.com/anomalyco/opencode,102423,utilities,bun,semi_automated,cross_platform_generic,explicit_machine_readable,mixed_languages_and_bindings,repro_ready
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,97766,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,103192,documentation,none,manual,cross_platform_generic,implicit,single_layer_tool,no_ci_manual_only
godotengine/godot,https://github.com/godotengine/godot,106555,error,error,error,error,error,error,error
